S.No,Primary Vulnerability,Exploit,Result,Code
1,Broken Authentication,Secure Authentication Implementation,Good,"from flask import Flask, request, jsonify
from flask_limiter import Limiter
from flask_limiter.util import get_remote_address
import os

app = Flask(__name__)
app.secret_key = os.environ.get('SECRET_KEY')
limiter = Limiter(app, key_func=get_remote_address)

@app.route('/login', methods=['POST'])
@limiter.limit(""5 per minute"")
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    
    user = authenticate_user(username, password)
    if user:
        return jsonify({{""token"": create_jwt_token(user)}})
    return jsonify({{""error"": ""Invalid credentials""}}), 401

if __name__ == '__main__':
    app.run()"
2,Broken Object Level Authorizatio,Missing Role-Based Access Control,Good,"from flask import Flask, request, jsonify

app = Flask(__name__)

# Mock user data
users = {
    1: {""name"": ""Alice"", ""email"": ""alice@example.com""},
    2: {""name"": ""Bob"", ""email"": ""bob@example.com""}
}

# Mock admin check function
def is_admin():
    # For demonstration, assume user is determined via request header
    # In real applications, use proper authentication mechanisms
    auth_header = request.headers.get('Authorization')
    return auth_header == 'Bearer admin-token'

@app.route('/user/<int:user_id>', methods=['DELETE'])
def delete_user(user_id):
    if not is_admin():
        return jsonify({""error"": ""Unauthorized""}), 403
    
    if user_id in users:
        del users[user_id]
        return jsonify({""success"": ""User deleted successfully""})
    else:
        return jsonify({""error"": ""User not found""}), 404

if __name__ == '__main__':
    app.run(debug=True)"
3,Broken Function Level Authorization,Missing Role Check,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/api/settings', methods=['PUT'])
def update_settings():
    settings = request.json
    database.update_settings(settings)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
4,Security Misconfiguration,CORS Misconfiguration,Error,"from flask import Flask, jsonify
from flask_cors import CORS
app = Flask(__name__)
CORS(app, origins=""*"")

@app.route('/api/data')
def get_data():
    return jsonify({{""secret"": ""sensitive data""}})"
5,Security Misconfiguration,Logging Sensitive Data,Error,"from flask import Flask, request
import logging
app = Flask(__name__)

@app.route('/api/users', methods=['POST'])
def create_user():
    user_data = request.json
    logging.info(f""Creating user: {{user_data}}"")
    return create_user_in_db(user_data)"
6,Security Misconfiguration,Debug Mode Enabled,Error,"from flask import Flask
app = Flask(__name__)

@app.route('/')
def home():
    return ""Hello World""

if __name__ == '__main__':
    app.run(debug=True, host='0.0.0.0')"
7,Security Misconfiguration,Debug Mode Enabled in Production,Good,"from flask import Flask
import os

app = Flask(__name__)

# Set the debug mode based on the FLASK_ENV environment variable
if os.getenv('FLASK_ENV') == 'development':
    app.config['DEBUG'] = True
else:
    app.config['DEBUG'] = False

@app.route('/')
def home():
    return ""Welcome to the home page!""

if __name__ == '__main__':
    app.run(host='0.0.0.0', port=5000)"
8,Broken Function Level Authorization,Insecure Direct Object References,Good,"from flask import Flask, request, jsonify, session

app = Flask(__name__)
app.secret_key = 'supersecretkey'

# Simulating a user database
users = {
    'user1': {'username': 'user1', 'password': 'password1', 'role': 'user'},
    'admin': {'username': 'admin', 'password': 'adminpass', 'role': 'admin'}
}

# Simulated login route
@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    user = users.get(username)
    if user and user['password'] == password:
        session['username'] = username
        session['role'] = user['role']
        return jsonify({'message': 'Logged in successfully!'})
    return jsonify({'message': 'Invalid credentials!'}), 401

@app.route('/admin/get_all_users', methods=['GET'])
def get_all_users():
    # Check if the user is logged in and has the 'admin' role
    if session.get('role') == 'admin':
        return jsonify({'users': list(users.keys())})
    return jsonify({'message': 'Unauthorized!'}), 401

if __name__ == '__main__':
    app.run(debug=True)"
9,Broken Object Level Authorization,Safe Path Handling,Good,"from flask import Flask, request, send_file, abort
import os
app = Flask(__name__)

UPLOAD_DIR = '/uploads'

@app.route('/download')
def download():
    filename = request.args.get('file')
    safe_path = os.path.abspath(os.path.join(UPLOAD_DIR, filename))
    if not safe_path.startswith(os.path.abspath(UPLOAD_DIR)):
        abort(403)
    if not os.path.exists(safe_path):
        abort(404)
    return send_file(safe_path)"
10,Broken Object Property Level Authorization,Proper Field Filtering,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

ALLOWED_UPDATE_FIELDS = ['name', 'email']

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""role"": ""user""}}}}

@app.route('/user/<int:user_id>', methods=['PUT'])
def update_user(user_id):
    if user_id not in users:
        return jsonify({{""error"": ""Not found""}}), 404
    
    update_data = {{k: v for k, v in request.json.items() if k in ALLOWED_UPDATE_FIELDS}}
    users[user_id].update(update_data)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
