S.No,Primary Vulnerability,Exploit,Result,Code
1,Broken Object Level Authorization,Unfiltered Resource Access,Error,"from flask import Flask, jsonify
app = Flask(__name__)

users = [
    {""id"": 1, ""user_id"": 1, ""data"": ""User 1 private""},
    {""id"": 2, ""user_id"": 2, ""data"": ""User 2 private""}
]

@app.route('/api/user', methods=['GET'])
def list_documents():
    return jsonify(users)

if __name__ == '__main__':
    app.run()"
2,Security Misconfiguration,Default Secret Key,Error,"from flask import Flask, session
app = Flask(__name__)
app.secret_key = 'secret'

@app.route('/login')
def login():
    session['user'] = 'admin'
    return ""Logged in""

if __name__ == '__main__':
    app.run()"
3,Server Side Request Forgery,URL Validation and Allowlist,Good,"from flask import Flask, request, jsonify
import requests
from urllib.parse import urlparse
app = Flask(__name__)

ALLOWED_HOSTS = ['api.trusted.com', 'cdn.example.com']

def is_safe_url(url):
    try:
        parsed = urlparse(url)
        if parsed.scheme not in ['http', 'https']:
            return False
        if parsed.hostname not in ALLOWED_HOSTS:
            return False
        if parsed.port and parsed.port not in [80, 443]:
            return False
        return True
    except:
        return False

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    
    if not is_safe_url(url):
        return jsonify({{""error"": ""URL not allowed""}}), 400
    
    response = requests.get(url, allow_redirects=False, timeout=5)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
4,Broken Authentication,Insecure Session Management,Good,"from flask import Flask, request, jsonify, session

app = Flask(__name__)
app.secret_key = 'supersecretkey'  # Ensure this is kept secret and secure

# User data for demonstration purposes
users = {
    'user1': 'password1',
    'user2': 'password2'
}

@app.route('/login', methods=['POST'])
def login():
    data = request.get_json()
    username = data.get('username')
    password = data.get('password')

    if username in users and users[username] == password:
        session['user'] = username
        return jsonify({""message"": ""Login successful!""}), 200
    else:
        return jsonify({""message"": ""Invalid credentials""}), 401

@app.route('/logout', methods=['POST'])
def logout():
    session.pop('user', None)
    return jsonify({""message"": ""Logout successful!""}), 200

if __name__ == '__main__':
    app.run(debug=True)"
5,Unrestricted Resource Consumption,Missing Pagination,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/items', methods=['GET'])
def get_all_items():
    items = database.get_all_items()
    return jsonify(items)

if __name__ == '__main__':
    app.run()"
6,Broken Object Property Level Authorization,Unvalidated Property Update,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

products = {{1: {{""name"": ""Item"", ""price"": 100, ""discount"": 0}}}}

@app.route('/product/<int:id>', methods=['PATCH'])
def update_product(id):
    for key, value in request.json.items():
        products[id][key] = value
    return jsonify(products[id])

if __name__ == '__main__':
    app.run()"
7,Unsafe Consumption of APIs,Validated External API Usage,Good,"from flask import Flask, jsonify
import requests
from marshmallow import Schema, fields, ValidationError
app = Flask(__name__)

class UserSchema(Schema):
    username = fields.Str(required=True, validate=lambda x: len(x) <= 50)
    email = fields.Email(required=True)
    
user_schema = UserSchema()

@app.route('/user-info/<username>')
def get_external_user(username):
    try:
        response = requests.get(
            f'https://external-api.com/users/{{username}}',
            timeout=5,
            verify=True
        )
        response.raise_for_status()
        
        user_data = user_schema.load(response.json())
        database.save_user_safe(user_data)
        return jsonify(user_data)
    except ValidationError as e:
        return jsonify({{""error"": ""Invalid data from external API""}}), 400
    except requests.RequestException as e:
        return jsonify({{""error"": ""External API error""}}), 502

if __name__ == '__main__':
    app.run()"
8,Broken Authentication,Token Exposure in URL,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/api/data')
def get_data():
    token = request.args.get('token')
    if validate_token(token):
        return jsonify({{""data"": ""sensitive info""}})
    return jsonify({{""error"": ""Invalid token""}}), 401

if __name__ == '__main__':
    app.run()"
9,Broken Function Level Authorization,Proper Function Authorization,Good,"from flask import Flask, request, jsonify
from functools import wraps
app = Flask(__name__)

def require_permission(permission):
    def decorator(f):
        @wraps(f)
        def decorated(*args, **kwargs):
            user = get_current_user()
            if not user or permission not in user.get('permissions', []):
                return jsonify({{""error"": ""Permission denied""}}), 403
            return f(*args, **kwargs)
        return decorated
    return decorator

@app.route('/api/settings', methods=['PUT'])
@require_permission('settings:write')
def update_settings():
    settings = request.json
    database.update_settings(settings)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
10,Broken Function Level Authorization,Insecure Direct Object References,Good,"from flask import Flask, request, jsonify, session

app = Flask(__name__)
app.secret_key = 'supersecretkey'

# Simulating a user database
users = {
    'user1': {'username': 'user1', 'password': 'password1', 'role': 'user'},
    'admin': {'username': 'admin', 'password': 'adminpass', 'role': 'admin'}
}

# Simulated login route
@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    user = users.get(username)
    if user and user['password'] == password:
        session['username'] = username
        session['role'] = user['role']
        return jsonify({'message': 'Logged in successfully!'})
    return jsonify({'message': 'Invalid credentials!'}), 401

# Secure endpoint restricted to administrators based on session role
@app.route('/admin/get_all_users', methods=['GET'])
def get_all_users():
    # Check if the user is logged in and has the 'admin' role
    if session.get('role') == 'admin':
        return jsonify({'users': list(users.keys())})
    return jsonify({'message': 'Unauthorized!'}), 401

if __name__ == '__main__':
    app.run(debug=True)"
11,Unsafe Consumption of APIs,No HTTPS Verification,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/external-data')
def get_external():
    response = requests.get('http://api.example.com/data', verify=False)
    return jsonify(response.json())

if __name__ == '__main__':
    app.run()"
12,Improper Inventory Management,Lack of Input Validation,Good,"from flask import Flask, request, jsonify

app = Flask(__name__)

inventory = {
    'item1': 100,
    'item2': 50,
    'item3': 75
}

@app.route('/update_inventory', methods=['POST'])
def update_inventory():
    data = request.get_json()

    item_name = data.get('item_name')
    quantity = data.get('quantity')

    if item_name and quantity is not None:
        # Validate that quantity is a non-negative integer
        if not isinstance(quantity, int) or quantity < 0:
            return jsonify({'error': 'Invalid quantity. It must be a non-negative integer.'}), 400

        if item_name in inventory:
            inventory[item_name] += quantity
            return jsonify({'message': 'Inventory updated successfully'}), 200
        else:
            return jsonify({'error': 'Item not found in inventory'}), 404
    else:
        return jsonify({'error': 'Invalid input data'}), 400

if __name__ == '__main__':
    app.run(debug=True)"
