Result,Code,vulnerability_type
Good,"@app.route('/api/profile/<profile_id>', methods=['PUT'])
@auth_required
def get_resource_handler(profile_id):
    if profile_id != current_user.profile_id:
        return jsonify(error='Unauthorized'), 403
    data = request.get_json()
    profile = Profile.query.get(profile_id)
    profile.update(data)
    db.session.commit()
    return jsonify(success=True)",BOLA
Error,"@app.route('/api/webhook', methods=['POST'])
def fetch_url_api():
    callback_url = request.json['callback_url']
    data = process_webhook()
    requests.post(callback_url, json=data)  # Can hit internal services
    return jsonify(success=True)",SSRF
Error,"@app.route('/api/post/<post_id>', methods=['DELETE'])
def admin_action_api(post_id):
    post = Post.query.get(post_id)
    db.session.delete(post)
    db.session.commit()
    return jsonify(deleted=True)",BrokenFuncAuth
Error,"@app.route('/api/third-party')
def consume_api_route():
    response = requests.get(THIRD_PARTY_API)  # No timeout - can hang forever
    if response.status_code == 200:
        return jsonify(response.json())
    return jsonify(error='Failed'), 500",UnsafeAPIConsumption
Good,"@app.route('/admin')
@admin_required
@limiter.limit(""30 per minute"")
def handle_request_api():
    audit_log('admin_access', current_user.id)
    return render_template('admin.html', users=User.query.all())",Misconfiguration
Good,"@app.route('/api/user')
def authenticate():
    session_id = request.cookies.get('session')
    session_data = sessions.get(session_id)
    if session_data and session_data['expires_at'] > datetime.utcnow():
        return jsonify(session_data['user'])
    return jsonify(error='Session expired'), 401",BrokenAuth
Good,"@app.route('/api/profile/<profile_id>', methods=['PUT'])
@auth_required
def get_resource_view(profile_id):
    if profile_id != current_user.profile_id:
        return jsonify(error='Unauthorized'), 403
    payload = request.get_json()
    profile = Profile.query.get(profile_id)
    profile.update(payload)
    db.session.commit()
    return jsonify(success=True)",BOLA
Good,"@app.route('/api/third-party')
@limiter.limit(""30 per minute"")
def consume_api_api():
    try:
        response = requests.get(THIRD_PARTY_API, timeout=10)
        response.raise_for_status()
        return jsonify(ThirdPartySchema().load(response.json()))
    except requests.Timeout:
        return jsonify(error='Service timeout'), 504
    except requests.RequestException as e:
        app.logger.error(f""Third party API error: {e}"")
        return jsonify(error='Service unavailable'), 503",UnsafeAPIConsumption
Good,"@app.route('/api/refund', methods=['POST'])
@require_role('finance')
@limiter.limit(""10 per minute"")
def admin_action_handler():
    order_id = request.json['order_id']
    amount = request.json['amount']
    if amount > MAX_REFUND_AMOUNT:
        abort(400, 'Amount exceeds limit')
    process_refund(order_id, amount, approved_by=current_user.id)
    return jsonify(refunded=True)",BrokenFuncAuth
Error,"@app.route('/proxy/image')
def fetch_url_view():
    image_url = request.args.get('src')
    img_data = urllib.request.urlopen(image_url).read()
    return Response(img_data, mimetype='image/png')",SSRF
Good,"@app.route('/api/review', methods=['POST'])
@login_required
@limiter.limit(""5 per day"")
def business_flow_api():
    product_id = request.json['product_id']
    rating = request.json['rating']
    if Review.query.filter_by(product_id=product_id, user_id=current_user.id).first():
        return jsonify(error='Already reviewed'), 400
    if not has_purchased(current_user.id, product_id):
        return jsonify(error='Purchase required'), 403
    review = Review(product_id=product_id, rating=rating, user_id=current_user.id)
    db.session.add(review)
    db.session.commit()
    return jsonify(success=True)",BusinessFlow
Good,"@app.route('/api/data')
@jwt_required()
def authenticate_view():
    current_user = get_jwt_identity()
    if not current_user:
        abort(401)
    return jsonify(get_user_data(current_user))",BrokenAuth
Error,"@app.route('/api/preview')
def fetch_url():
    url = request.args.get('link')
    response = httpx.get(url, follow_redirects=True)
    soup = BeautifulSoup(response.text, 'html.parser')
    return jsonify(title=soup.title.string if soup.title else '')",SSRF
Error,"@app.route('/api/invite', methods=['POST'])
def business_flow_api():
    emails = request.json['emails']
    # No limit - can spam invitations
    for email in emails:
        send_invitation(email, current_user.referral_code)
    return jsonify(sent=len(emails))",BusinessFlow
Error,"@app.route('/upload', methods=['POST'])
def handle_request():
    file = request.files['file']
    # No size check - DoS vulnerability!
    file.save(os.path.join(UPLOAD_DIR, file.filename))
    return jsonify(success=True)",NoRateLimit
Good,"@app.route('/api/pdf/generate', methods=['POST'])
@login_required
def fetch_url_route():
    template_id = request.json['template_id']
    if template_id not in ALLOWED_TEMPLATES:
        abort(400, 'Invalid template')
    template_path = TEMPLATE_DIR / (template_id + "".html"")
    with open(template_path) as f:
        html_content = f.read()
    pdf = generate_pdf(html_content)
    return send_file(pdf)",SSRF
Good,"@app.route('/upload', methods=['POST'])
@limiter.limit(""10 per hour"")
def handle_request_api():
    file = request.files['file']
    if file.content_length > MAX_FILE_SIZE:
        abort(413)
    if not allowed_file(file.filename):
        abort(400)
    filename = secure_filename(file.filename)
    file.save(os.path.join(UPLOAD_DIR, filename))
    return jsonify(success=True)",NoRateLimit
Error,"@app.route('/api/third-party')
def consume_api_route():
    response = requests.get(THIRD_PARTY_API)  # No timeout - can hang forever
    if response.status_code == 200:
        return jsonify(response.json())
    return jsonify(error='Failed'), 500",UnsafeAPIConsumption
Good,"if os.environ.get('FLASK_ENV') == 'development':
    @app.route('/test/create-admin')
    def create_test_admin():
        admin = User(username='testadmin', role='admin')
        db.session.add(admin)
        db.session.commit()
        return jsonify(id=admin.id)

@app.route('/api/status')
def internal_endpoint_api():
    return jsonify(status='running')",ImproperInventory
Error,"@app.route('/admin')
def handle_request_view():
    # No authentication required!
    return render_template('admin.html', users=User.query.all())",Misconfiguration
